Date,06750500,DEADDPCO,BOBGLNCO,06750000,06747000,06746500,CAPDCPCO,06746000,09010000,09022500,09021500,STCTUNCO,09047300,09050590,09046000,HSPTUNCO,09013000
1922,,,,,,380.8320,,,,,,,,,,,
1923,,,,,,16788.7402,,,,,,,,,,,
1924,,,,,,13520.1310,,,,,,,,,,,
1925,,,,,,14689.6031,,,,,,,,,,,
1926,,,,,,19400.2172,,,,,,,,,,,
1927,,,,,,21392.6426,,,,,,,,,,,
1928,,,,,,19239.5533,,,,,,,,,,,
1929,,,,,,24485.1170,,,19897.0835,,,,,,,,
1930,,,,,,18542.1551,,,13698.6466,,,,,,,,
1931,,,,,222.1520,13352.9215,307.6409,,10592.0886,,,,,,,,
1932,,,,,13426.1135,17989.7500,385.1958,4534.6772,13847.4080,,768.6063,,,,,,
1933,6258.7354,,,,13231.3335,17305.6403,418.5186,4881.3935,12189.4014,,,,,,288.9960,,
1934,1360.8790,,,,6053.6418,10551.2288,168.2008,1013.5685,7684.0780,,648.4061,,,,72.5961,,
1935,5466.1293,2807.8431,,,14118.9486,18644.3049,279.2768,3884.0891,11283.9326,,544.8675,,,,216.2015,,
1936,3386.6279,1033.4035,,,12962.1730,21505.1090,353.6581,4484.0984,19031.2848,12148.9370,718.8204,,,,431.8080,,
1937,3692.4837,1151.4216,,,12297.5016,15697.6172,236.6316,2006.5085,13650.0508,21632.0530,,,,,149.5559,,
1938,6277.5788,1994.2108,,,9489.0645,22016.4540,447.6760,4935.9409,25211.8670,44404.6095,777.3338,,,,273.1280,,
1939,2660.0713,873.9301,,,13063.3310,14873.0759,255.0781,2283.0085,18631.0155,31134.9980,891.5833,,,,31.3393,,
1940,1219.6542,609.1328,167.2091,78.1499,,7231.0470,235.0448,1775.8274,17227.0904,28873.8110,573.6283,,,,170.5810,,
1941,2634.6828,876.5086,273.9214,75.7697,7495.6460,6638.9730,287.0125,3403.4876,19186.9901,36726.4850,609.3312,,,,,,
1942,,,219.7718,,10242.7930,8334.2708,,785.8628,20148.7920,10814.0420,261.2270,,,,,,
1943,1142.4960,,,,8961.2546,9731.4470,,1536.4191,17526.2070,32608.7415,554.5866,,,,,,
1944,1697.8760,,,,9088.3975,10594.4685,186.0523,1802.0102,16659.8127,15150.7662,,,,,,,
1945,3963.0330,771.3831,,,8602.4390,10571.0627,296.9300,3092.4749,23301.9622,,1033.2051,,,,,,
1946,3647.6565,940.1791,349.8894,162.8454,9471.2120,9092.7610,262.0204,1936.0941,18820.4425,715.2501,396.3034,,,,,,
1947,5346.3270,1007.8160,524.6357,188.4325,14362.5250,3826.1710,,3266.2290,24813.5879,25266.0215,166.0190,,,,,,
1948,3608.5813,902.0958,,,11355.5370,7781.8660,,1914.0774,17733.8785,22980.8310,560.9338,,,,,,9382.5502
1949,3682.7647,1274.2000,175.1430,26.9756,10766.2397,7807.0560,148.7625,2360.7621,17197.9378,24893.1224,327.4758,,,,,,15925.5214
1950,3440.9759,1128.4132,300.5002,86.2822,15495.1020,2964.7380,130.9110,2070.5753,16161.7564,29336.1668,490.3212,,,,69.8192,,28074.0621
1951,5259.8454,1217.2740,384.2040,134.6796,14582.6920,3639.7220,310.8144,4301.4182,24962.3500,34307.4089,716.2418,,,,176.7299,,69498.4685
1952,2749.5282,591.4797,,,15068.6500,1767.2980,115.2414,2074.1465,21392.8444,31297.8403,731.7131,,,,13.4878,,74453.0511
