"TransbasinDiversionName","Structure_WDID","Structure_Name","Latitude","Longitude","Type_Import_Export"
Wilson Supply Ditch,0304604,,,,
Wilson Supply Ditch,7600600,,,,
Deadman Ditch,7600572,,,,
Bob Creek Ditch,4800573,,,,
Columbine Ditch-South Platte,0304607,,,,
Laramie Poudre Tunnel,4800576,,,,
Laramie Poudre Tunnel,0304600,,,,
Skyline Ditch,4800577,,,,
Cameron Pass Ditch,0304602,,,,
Cameron Pass Ditch,4704602,,,,
Michigan Ditch,4704603,,,,
Michigan Ditch,0304603,,,,
Grand River Ditch,5104601,,,,
Grand River Ditch,0304601,,,,
Grand River Ditch,5101213,,,,
Grand River Ditch,5101212,,,,
Colorado-Big Thompson Project,5104634,,,,
Colorado-Big Thompson Project,0404634,,,,
Moffat Collection System Project,5104655,,,,
Moffat Collection System Project,5101269,,,,
Moffat Collection System Project,5101309,,,,
Moffat Collection System Project,5101310,,,,
Berthoud Pass Ditch,5104625,,,,
Straight Creek Tunnel,3600829,,,,
Straight Creek Tunnel,0704682,,,,
Straight Creek Tunnel,3604658,,,,
Vidler Collection System,3604626,,,,
Roberts Tunnel Collection System,3604684,,,,
Roberts Tunnel Collection System,0800653,,,,
Boreas Pass Ditch,0804611,,,,
Boreas Pass Ditch,3604685,,,,
Continental-Hoosier Diversion System,3604683,,,,
Continental-Hoosier Diversion System,3604699,,,,
Continental-Hoosier Diversion System,3604684,,,,
Continental-Hoosier Diversion System,3604683,,,,
Columbine Ditch-Arkansas,3704641,,,,
Ewing Ditch,3704624,,,,
Warren E. Wurts Ditch,3704648,,,,
Homestake Tunnel,3704614,,,,
Homestake Tunnel,3704643,,,,
Charles H. Boustead Tunnel,3804625,,,,
Busk-Ivanhoe Tunnel,1104612,,,,
Busk-Ivanhoe Tunnel,3804613,,,,
Twin Lakes Tunnel,,,,,
Larkspur Ditch,,,,,
Hudson Branch Ditch,,,,,
Medano Pass Ditch,,,,,
Tarbell Ditch,,,,,
Tabor Ditch,,,,,
Weminuche Pass Ditch,3104637,,,,
Pine River-Weminuche Pass Ditch,3104638,,,,
Williams Creek-Squaw Pass Ditch,7804672,,,,
Don La Font Ditch Nos. 1 and 2,7804670,,,,
Don La Font Ditch Nos. 1 and 2,7804671,,,,
Treasure Pass Ditch,2904669,,,,
San Juan-Chama Project,2904667,,,,
San Juan-Chama Project,7704636,,,,
San Juan-Chama Project,7704635,,,,
Red Mountain Ditch,3004662,,,,
Carbon Lake Ditch,3004660,,,,
Mineral Point Ditch,3004661,,,,
Leon Tunnel,7204715,,,,
Divide Highline Feeder Ditch,,,,,
Sarvis Ditch,5804684,,,,
Stillwater Ditch,5804686,,,,
Dome Ditch,5804630,,,,
Redlands Power Canal,4200541,,,,
